0	468.5281	161.4857	542.0151	537.525	507.4625
5	472.2156	163.3477	543.3357	539.3594	507.8062
10	471.6313	162.457	539.4656	537.7313	508.5625
15	469.1906	161.0638	541.0526	538.1906	508.95
20	469.6812	161.2357	540.1216	537.9344	509.0938
25	467.3875	161.3789	542.2586	538.7344	509.1781
30	472.0344	163.0195	540.2792	538.7062	509.3844
35	464.7656	160.0104	540.03	537.85	509.5344
40	459.475	157.6966	538.7008	537.2656	509.4937
45	459.6656	158.9154	541.319	537.95	509.3344
50	462.1	159.3971	540.2076	538.2875	509.2656
55	466.7719	160.6107	537.5607	537.075	509.3469
60	466.0562	161.1393	538.5719	536.4938	509.2219
65	469.4969	161.1289	535.8505	535.7438	508.8875
70	467.5187	160.8685	536.9075	534.9031	508.55
75	470.3531	161.8307	538.8727	536.3125	508.0187
80	472.3781	162.4622	536.3862	535.3844	507.9562
85	468.1313	160.4831	536.3088	534.6875	507.8156
90	466.8094	160.4232	536.6297	535.075	507.4906
95	463.1	159.2878	536.9362	534.525	507.2406
100	466.2406	160.2057	540.4252	536.55	507.0469
105	471.0438	162.2617	537.8987	536.0187	507.2062
110	469.2188	161.3294	539.4313	536.4906	507.4844
115	474.3781	162.5768	537.4174	536.0687	507.6906
120	473.6625	162.4388	537.3516	535.2469	507.7844
125	477.675	162.8893	537.7097	535.7844	507.6344
130	479.6906	163.9089	536.3031	534.8688	507.6125
135	480.275	163.6016	537.3029	535.0469	507.4625
140	480.4344	163.8516	538.4172	535.8344	507.3062
145	477.8656	163.2005	539.8209	536.3438	507.4656
150	477.0531	162.8841	541.1873	537.6719	507.7219
155	476.4219	162.724	540.6487	537.6156	508.1906
160	475.5969	161.9583	541.8174	538.4531	508.625
165	478.8156	163.28	540.7232	538.2313	509.0313
170	478.2313	162.3958	540.7891	538.3719	509.3906
175	476.4562	161.2448	539.7235	537.6844	509.5781
180	479.7281	162.8802	539.6433	537.6281	509.5625
185	479.1844	162.6797	540.0042	537.5438	509.4906
190	478.3469	162.5495	539.3138	537.6219	509.4656
195	478.8188	162.0195	536.7586	536.325	509.4063
200	483.3563	162.7982	532.0006	533.5219	509.0688
205	478.55	160.8255	526.8701	529.9875	508.2188
210	462.0531	155.6419	529.8951	529.1625	506.6844
215	463.075	157.4466	534.4068	531.5719	505.0812
220	460.5969	157.2539	542.6596	535.0906	504.3813
225	469.5719	161.0247	545.5787	539.3	504.8125
230	472.7813	162.1406	545.106	539.7562	506.3281
235	475.3687	163.5677	548.2885	541.7719	507.825
240	477.7684	163.0025	545.674	542.3823	509.4118
245	478.6313	163.069	542.5508	541.0375	510.675
250	484.0875	164.2721	536.5266	538.1219	511.3969
255	478.1969	162.0039	535.7044	535.0563	511.1656
260	477.5375	161.53	537.638	535.9219	510.1063
265	485.5281	165.069	542.4992	539.0469	509.3844
270	483.6156	164.1875	538.2453	537.1032	509.5
275	485.5719	165.0925	537.8987	536.625	509.5125
280	478.3531	162.2396	535.1774	535.0407	509.3813
285	473.2062	160.7669	536.7586	534.8937	508.8844
290	468.1844	159.2513	537.2026	535.3156	508.3687
295	462.675	157.8919	538.7266	535.825	508.0531
300	464.5313	158.4987	539.6375	536.6469	507.9844
305	468.9625	160.9961	542.7714	538.0156	508.2406
310	474.575	162.5091	540.7833	538.6781	508.6844
315	472.0812	160.9167	535.5268	535.6719	509.2938
320	469.6656	160.2474	538.7008	535.9188	509.1969
325	474.8531	162.5195	540.2648	537.2813	508.8125
