0	161.4857	542.0151	517.3052	334.5938
5	163.3477	543.3357	517.8209	337.875
10	162.457	539.4656	515.28	336.0024
15	161.0638	541.0526	516.7151	333.8016
20	161.2357	540.1216	516.0219	334.3008
25	161.3789	542.2586	517.5716	334.0313
30	163.0195	540.2792	516.3312	336.9305
35	160.0104	540.03	515.7383	331.807
40	157.6966	538.7008	515.1224	327.4406
45	158.9154	541.319	516.6635	328.8469
50	159.3971	540.2076	516.549	330.2625
55	160.6107	537.5607	514.4922	332.9578
60	161.1393	538.5719	514.1312	333.1781
65	161.1289	535.8505	512.9682	333.4383
70	160.8685	536.9075	513.249	332.707
75	161.8307	538.8727	514.6096	334.7719
80	162.4622	536.3862	513.014	336.2461
85	160.4831	536.3088	513.4323	333.2672
90	160.4232	536.6297	513.5268	332.0883
95	159.2878	536.9362	513.5726	330.0914
100	160.2057	540.4252	516.824	332.4516
105	162.2617	537.8987	514.6526	335.8172
110	161.3294	539.4313	515.3859	334.4367
115	162.5768	537.4174	514.6813	336.7875
120	162.4388	537.3516	514.1169	336.4406
125	162.8893	537.7097	514.8646	337.6828
130	163.9089	536.3031	513.5039	339.4641
135	163.6016	537.3029	514.4492	338.9156
140	163.8516	538.4172	515.1539	339.4359
145	163.2005	539.8209	516.1393	338.1141
150	162.8841	541.1873	517.2651	337.6992
155	162.724	540.6487	516.9529	336.982
160	161.9583	541.8174	518.2907	336.0281
165	163.28	540.7232	517.5687	338.0438
170	162.3958	540.7891	518.05	336.6492
175	161.2448	539.7235	517.8265	334.7461
180	162.8802	539.6433	517.6661	337.432
185	162.6797	540.0042	518.2677	337.193
190	162.5495	539.3138	517.8037	336.8578
195	162.0195	536.7586	516.7495	335.8453
200	162.7982	532.0006	513.5927	337.3453
205	160.8255	526.8701	508.7229	333.2789
210	155.6419	529.8951	509.5393	323.5055
215	157.4466	534.4068	512.7362	326.8687
220	157.2539	542.6596	517.2966	326.9414
225	161.0247	545.5787	520.7399	334.0664
230	162.1406	545.106	520.7971	335.9719
235	163.5677	548.2885	522.4643	339.0187
240	163.0025	545.674	521.2711	337.9219
245	163.069	542.5508	519.2416	338.1047
250	164.2721	536.5266	516.5633	340.4836
255	162.0039	535.7044	514.031	335.9203
260	161.53	537.638	515.5263	334.9359
265	165.069	542.4992	518.5857	341.9391
270	164.1875	538.2453	515.913	340.3453
275	165.0925	537.8987	515.5148	342.1359
280	162.2396	535.1774	513.5096	336.3188
285	160.7669	536.7586	514.3805	333.5883
290	159.2513	537.2026	515.3602	330.4898
295	157.8919	538.7266	516.0104	327.6938
300	158.4987	539.6375	516.9443	329.2664
305	160.9961	542.7714	518.5026	334.036
310	162.5091	540.7833	517.5945	337.0664
315	160.9167	535.5268	513.8649	333.4945
320	160.2474	538.7008	515.5693	332.4937
325	162.5195	540.2648	517.013	336.825
330	161.6484	534.8737	513.8018	335.1187
335	161.7852	536.432	513.8534	335.6719
340	163.7943	537.8041	514.9305	339.3328
345	161.3333	534.6875	512.6789	334.5938
350	159.8893	536.3547	513.3979	331.7953
355	160.4063	539.9784	516.1479	332.9977
360	158.0	534.9081	513.6672	328.0641
365	157.3828	536.6784	513.4724	326.8102
370	158.7448	543.1065	517.4341	329.3438
375	160.8815	545.3037	520.3044	333.6164
380	163.6771	544.5302	520.1211	339.0844
385	163.6016	539.987	517.6518	339.15
390	163.4271	538.0734	515.4318	338.6578
395	162.5729	538.6349	515.5808	336.9586
400	161.793	536.4063	514.624	335.4164
405	162.3672	536.5638	514.5008	336.4805
410	161.6042	536.6898	514.4521	335.4328
415	161.2813	534.4211	513.3893	334.3102
420	160.5664	536.5524	514.5495	333.1219
425	160.3685	534.9768	513.862	332.5922
430	162.2422	535.2232	514.3604	336.4758
435	162.6471	534.6044	513.6042	336.9961
440	161.8919	534.8135	513.736	335.4211
445	161.7214	535.7474	514.5524	335.1422
450	160.8451	536.475	515.0422	333.4125
455	161.4206	536.9334	515.2599	334.6359
460	160.7292	536.0424	514.919	333.0258
465	161.7279	535.8362	515.3201	335.1656
470	161.8997	535.9279	515.3229	335.6367
475	161.875	535.9193	515.2427	335.2992
480	161.8945	534.5185	514.3002	335.475
485	162.0273	537.3115	515.8557	335.7844
490	161.8672	536.0797	515.363	335.4586
495	161.2461	536.5208	515.5865	334.5
500	161.0521	539.2766	517.2078	334.1086
505	162.0143	539.818	517.9068	336.0375
510	161.4141	539.8638	518.2448	334.493
515	161.444	539.7349	518.6	334.7602
