0	468.5281	161.4857	542.0151
5	472.2156	163.3477	543.3357
10	471.6313	162.457	539.4656
15	469.1906	161.0638	541.0526
20	469.6812	161.2357	540.1216
25	467.3875	161.3789	542.2586
30	472.0344	163.0195	540.2792
35	464.7656	160.0104	540.03
40	459.475	157.6966	538.7008
45	459.6656	158.9154	541.319
50	462.1	159.3971	540.2076
55	466.7719	160.6107	537.5607
60	466.0562	161.1393	538.5719
65	469.4969	161.1289	535.8505
70	467.5187	160.8685	536.9075
75	470.3531	161.8307	538.8727
80	472.3781	162.4622	536.3862
85	468.1313	160.4831	536.3088
90	466.8094	160.4232	536.6297
95	463.1	159.2878	536.9362
100	466.2406	160.2057	540.4252
105	471.0438	162.2617	537.8987
110	469.2188	161.3294	539.4313
115	474.3781	162.5768	537.4174
120	473.6625	162.4388	537.3516
125	477.675	162.8893	537.7097
130	479.6906	163.9089	536.3031
135	480.275	163.6016	537.3029
140	480.4344	163.8516	538.4172
145	477.8656	163.2005	539.8209
150	477.0531	162.8841	541.1873
155	476.4219	162.724	540.6487
160	475.5969	161.9583	541.8174
165	478.8156	163.28	540.7232
170	478.2313	162.3958	540.7891
175	476.4562	161.2448	539.7235
180	479.7281	162.8802	539.6433
185	479.1844	162.6797	540.0042
190	478.3469	162.5495	539.3138
195	478.8188	162.0195	536.7586
200	483.3563	162.7982	532.0006
205	478.55	160.8255	526.8701
210	462.0531	155.6419	529.8951
215	463.075	157.4466	534.4068
220	460.5969	157.2539	542.6596
225	469.5719	161.0247	545.5787
230	472.7813	162.1406	545.106
235	475.3687	163.5677	548.2885
240	477.7684	163.0025	545.674
245	478.6313	163.069	542.5508
250	484.0875	164.2721	536.5266
255	478.1969	162.0039	535.7044
260	477.5375	161.53	537.638
265	485.5281	165.069	542.4992
270	483.6156	164.1875	538.2453
275	485.5719	165.0925	537.8987
280	478.3531	162.2396	535.1774
285	473.2062	160.7669	536.7586
290	468.1844	159.2513	537.2026
295	462.675	157.8919	538.7266
300	464.5313	158.4987	539.6375
305	468.9625	160.9961	542.7714
310	474.575	162.5091	540.7833
315	472.0812	160.9167	535.5268
320	469.6656	160.2474	538.7008
325	474.8531	162.5195	540.2648
330	475.6688	161.6484	534.8737
335	475.5031	161.7852	536.432
340	480.2687	163.7943	537.8041
345	474.4937	161.3333	534.6875
350	469.6125	159.8893	536.3547
355	469.8344	160.4063	539.9784
360	466.6531	158.0	534.9081
365	462.2219	157.3828	536.6784
370	462.1563	158.7448	543.1065
375	467.2906	160.8815	545.3037
380	475.0625	163.6771	544.5302
385	478.1094	163.6016	539.987
390	478.3156	163.4271	538.0734
395	476.7563	162.5729	538.6349
400	476.6844	161.793	536.4063
405	477.8125	162.3672	536.5638
410	477.1969	161.6042	536.6898
415	477.3844	161.2813	534.4211
420	475.2719	160.5664	536.5524
425	475.9375	160.3685	534.9768
430	482.3156	162.2422	535.2232
